"UnitCode","long","lat","tmean.max","year","tmean.max.ym","tmax.max","tmax.max.ym","tmean.min","tmean.min.ym","tmin.min","tmin.min.ym","ppt.max","ppt.max.ym","ppt.min","ppt.min.ym"
"ACAD",-68.26019,44.376559,19.1904296875,1977,1977-07-01,24.919921875,1977-07-01,-8.990234375,1977-01-01,-14.2998046875,1977-01-01,250.2802734375,1977-12-01,37.7998046875,1977-05-01
"ACAD",-68.26019,44.376559,19.5595703125,1978,1978-08-01,25.919921875,1978-07-01,-7.3798828125,1978-02-01,-12.3896484375,1978-02-01,201.6201171875,1978-01-01,22.98046875,1978-08-01
"ACAD",-68.26019,44.376559,19.8701171875,1979,1979-07-01,25.58984375,1979-07-01,-8.08984375,1979-02-01,-12.16015625,1979-02-01,300.9697265625,1979-01-01,27.2900390625,1979-06-01
"ACAD",-68.26019,44.376559,20.1298828125,1980,1980-07-01,25.3095703125,1980-08-01,-6.8095703125,1980-12-01,-12.8603515625,1980-12-01,176.9599609375,1980-03-01,21.6103515625,1980-01-01
"ACAD",-68.26019,44.376559,19.58984375,1981,1981-07-01,25.099609375,1981-07-01,-10.4599609375,1981-01-01,-15.849609375,1981-01-01,188.25,1981-12-01,42.0498046875,1981-03-01
"ACAD",-68.26019,44.376559,19.66015625,1982,1982-07-01,25.8896484375,1982-07-01,-10.1396484375,1982-01-01,-15.6904296875,1982-01-01,170.08984375,1982-01-01,20.3798828125,1982-05-01
"ACAD",-68.26019,44.376559,19.5703125,1983,1983-07-01,25.6904296875,1983-07-01,-4.919921875,1983-01-01,-9.4501953125,1983-01-01,307.240234375,1983-11-01,36.75,1983-06-01
"ACAD",-68.26019,44.376559,19.7802734375,1984,1984-08-01,25.0498046875,1984-07-01,-7.01953125,1984-01-01,-11.4404296875,1984-01-01,208.009765625,1984-03-01,22.6796875,1984-08-01
"ACAD",-68.26019,44.376559,19.26953125,1985,1985-07-01,25.01953125,1985-07-01,-9.1904296875,1985-01-01,-13.490234375,1985-01-01,184.26953125,1985-08-01,19.599609375,1985-01-01
"ACAD",-68.26019,44.376559,17.7099609375,1986,1986-07-01,23.0498046875,1986-07-01,-6.0595703125,1986-02-01,-11.1103515625,1986-02-01,214.9501953125,1986-07-01,46.509765625,1986-10-01
"ACAD",-68.26019,44.376559,18.400390625,1987,1987-07-01,24.169921875,1987-08-01,-6.75,1987-01-01,-11.6103515625,1987-01-01,215.7001953125,1987-09-01,27.2802734375,1987-02-01
"ACAD",-68.26019,44.376559,20.1796875,1988,1988-07-01,25.9599609375,1988-07-01,-6.5302734375,1988-01-01,-12.3701171875,1988-01-01,246.0302734375,1988-11-01,41.1904296875,1988-12-01
"ACAD",-68.26019,44.376559,19.080078125,1989,1989-07-01,25.2001953125,1989-07-01,-10.6904296875,1989-12-01,-15.9404296875,1989-12-01,216.580078125,1989-05-01,53.2001953125,1989-07-01
"ACAD",-68.26019,44.376559,20.1298828125,1990,1990-08-01,25.6904296875,1990-07-01,-5.3095703125,1990-02-01,-10.8896484375,1990-02-01,204.23046875,1990-05-01,59.1298828125,1990-03-01
"ACAD",-68.26019,44.376559,19.8095703125,1991,1991-07-01,26.08984375,1991-07-01,-5.91015625,1991-01-01,-11.400390625,1991-01-01,197.6298828125,1991-08-01,37.7197265625,1991-02-01
"ACAD",-68.26019,44.376559,17.98046875,1992,1992-08-01,22.9501953125,1992-08-01,-6.0302734375,1992-01-01,-10.599609375,1992-01-01,183.01953125,1992-01-01,24.8603515625,1992-05-01
"ACAD",-68.26019,44.376559,19.7099609375,1993,1993-07-01,25.580078125,1993-07-01,-9.650390625,1993-02-01,-15.26953125,1993-02-01,205.8701171875,1993-12-01,17.2998046875,1993-08-01
